timestamp,product_id,view_index,image_type,source_url,assigned_prompt,fashn_job_id,status,output_local_path,output_cloudinary_url,error_message
2026-04-28T09:58:48.007981,W0743140A,1,product_only,https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg,young woman mid-20s confident posture clean white studio seamless backdrop sharp catalog light,019dd386-dcda-7802-8a38-b23e97a8886d,failed,,,Job failed: ImageLoadError — Failed to load product image: HTTP error loading image from URL: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg. Error: 404 Client Error: Not Found for url: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A%20(1).jpg
2026-04-28T09:59:20.545660,W0743140A,2,product_only,https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (2).jpg,young woman mid-20s confident posture clean white studio seamless backdrop sharp catalog light,019dd387-0012-7e83-bf96-b933892fb1f2,completed,outputs\W0743140A\view_2.jpeg,,
2026-04-28T10:00:03.274453,W0743140A,3,product_only,https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (3).jpeg,young woman mid-20s confident posture clean white studio seamless backdrop sharp catalog light,019dd387-7d32-7663-b832-57d10ab2b2fb,completed,outputs\W0743140A\view_3.jpeg,,
2026-04-28T10:02:41.271577,W0743140A,1,product_only,https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg,young woman mid-20s confident posture clean white studio seamless backdrop sharp catalog light,019dd38a-7057-7010-a06f-0bc6db6589c1,failed,,,Job failed: ImageLoadError — Failed to load product image: HTTP error loading image from URL: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg. Error: 404 Client Error: Not Found for url: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A%20(1).jpg
2026-04-28T10:03:03.399877,W0743140A,2,product_only,https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (2).jpg,young woman mid-20s confident posture clean white studio seamless backdrop sharp catalog light,019dd38a-8c94-7cc1-af1b-4004e5b55a98,completed,outputs\W0743140A\view_2.jpeg,,
2026-04-28T10:03:45.969718,W0743140A,3,product_only,https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (3).jpeg,young woman mid-20s confident posture clean white studio seamless backdrop sharp catalog light,019dd38a-e4ae-7d10-8d65-9f386e5a23df,completed,outputs\W0743140A\view_3.jpeg,,
2026-04-28T10:06:02.368603,W0743140A,1,product_only,https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg,young woman mid-20s confident posture clean white studio seamless backdrop sharp catalog light,019dd38d-67e6-7be3-82bf-75c62a7b122c,failed,,,Job failed: ImageLoadError — Failed to load product image: HTTP error loading image from URL: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg. Error: 404 Client Error: Not Found for url: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A%20(1).jpg
2026-04-28T10:06:52.944103,W0743140A,2,product_only,https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (2).jpg,young woman mid-20s confident posture clean white studio seamless backdrop sharp catalog light,019dd38d-a30a-7673-8b19-71473211cfaf,completed,outputs\W0743140A\view_2.jpeg,,
2026-04-28T10:07:35.944106,W0743140A,3,product_only,https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (3).jpeg,young woman mid-20s confident posture clean white studio seamless backdrop sharp catalog light,019dd38e-66ae-7573-8972-481e5bee86ff,completed,outputs\W0743140A\view_3.jpeg,,
2026-04-28T10:08:23.376952,W193E24B0022013,1,product_only,https://oms.awl.lxcn.com/uploads/goods/W193E24B0022013/W193E24B0022013 (1).jpg,young woman mid-20s relaxed stance white studio seamless backdrop even catalog lighting,019dd38f-203a-72b1-9656-9cb29895dd60,completed,outputs\W193E24B0022013\view_1.jpeg,,
